canonical_name,price_bucket,sample_count,avg_mat_unit_price,avg_labor_unit_price,avg_exp_unit_price,mat_ratio,labor_ratio,exp_ratio,source_files
바탕정리,31000-31999,2,300.0,700.0,0.0,30.0,70.0,0.0,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_31,000원.xlsx"
바탕정리,32000-32999,3,300.0,700.0,0.0,30.0,70.0,0.0,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_32,000원.xlsx"
바탕정리,33000-33999,2,400.0,850.0,0.0,32.0,68.0,0.0,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_33,000원.xlsx"
바탕정리,34000-34999,2,500.0,1100.0,0.0,31.2,68.8,0.0,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_34,000원.xlsx"
바탕정리,35000-35999,3,566.7,1233.3,0.0,31.5,68.5,0.0,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx,50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
바탕정리,36000-36999,3,700.0,1433.3,0.0,32.8,67.2,0.0,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 복합_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
바탕정리,37000-37999,3,833.3,1300.0,0.0,39.1,60.9,0.0,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 복합_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
바탕정리,38000-38999,2,300.0,700.0,0.0,30.0,70.0,0.0,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
바탕정리,39000-39999,2,300.0,700.0,0.0,30.0,70.0,0.0,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
바탕정리,40000-40999,2,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
바탕정리,41000-41999,2,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
바탕정리,42000-42999,2,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
바탕정리,43000-43999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_43,000원.xlsx"
바탕정리,44000-44999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_44,000원.xlsx"
바탕정리,48000-48999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"20평 이하 소형평수_48,000원.xlsx"
바탕정리,50000-50999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"20평 이하 소형평수_50,000원.xlsx"
바탕조정제부분미장,23000-23999,1,0.0,0.0,0.0,0,0,0,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,24000-24999,1,0.0,0.0,0.0,0,0,0,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,25000-25999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,26000-26999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,27000-27999,1,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
바탕조정제부분미장,28000-28999,1,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
바탕조정제부분미장,29000-29999,1,0.0,0.0,0.0,0,0,0,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,30000-30999,1,0.0,0.0,0.0,0,0,0,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,31000-31999,2,0.0,0.0,0.0,0,0,0,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_31,000원.xlsx"
바탕조정제부분미장,32000-32999,3,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_32,000원.xlsx"
바탕조정제부분미장,33000-33999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_33,000원.xlsx"
